作品,作者,链接,类型,状态,字数,简介
黎明之剑,远瞳,https://book.qidian.com/info/1010400217,科幻-时空穿梭,连载中,159.15万字,高文穿越了，但穿越的时候稍微出了点问题。在某个异界大陆上空飘了十几万年之后，他觉得自己可能需要一具身体才算是成为一个完整的穿越者，但他并没想到自己好不容易成功之后竟然还需要带着这具身体从棺材里爬出来，
全职法师,乱,https://book.qidian.com/info/3489766,玄幻-异世大陆,连载中,629.47万字,一觉醒来，世界大变。熟悉的高中传授的是魔法，告诉大家要成为一名出色的魔法师。居住的都市之外游荡着袭击人类的魔物妖兽，虎视眈眈。崇尚科学的世界变成了崇尚魔法，偏偏有着一样以学渣看待自己的老师，一样目光异
大道朝天,猫腻,https://book.qidian.com/info/1010496369,玄幻-东方玄幻,连载中,136.16万字,千里杀一人，十步不愿行。（大道朝天官方一群，群号码：311875513，大道朝天官方二群，群号码：220593959，欢迎加入）
太初,高楼大厦,https://book.qidian.com/info/1010399782,玄幻-东方玄幻,连载中,493.17万字,一树生的万朵花，天下道门是一家。法术千般变化，人心却亘古不变
儒道至圣,永恒之火,https://book.qidian.com/info/3173393,玄幻-东方玄幻,连载中,713.55万字,这是一个读书人掌握天地之力的世界。才气在身，诗可杀敌，词能灭军，文章安天下。秀才提笔，纸上谈兵；举人杀敌，出口成章；进士一怒，唇枪舌剑。圣人驾临，口诛笔伐，可诛人，可判天子无道，以一敌国。此时，圣院把
重生野性时代,王梓钧,https://book.qidian.com/info/1013026063,都市-都市生活,连载中,89.32万字,从2018回到1993，记忆中，那一年的夏天很热。
我的1979,争斤论两花花帽,https://book.qidian.com/info/1003541158,都市-都市生活,连载中,385.33万字,一觉醒来，回到70年代，再次面对过往，你猜不透的结局..........
电影世界私人订制,昨夜大雨,https://book.qidian.com/info/1012797863,科幻-时空穿梭,连载中,178.65万字,每部电影都是一段旅程，玛丽莲梦露的性感风情，海外孤岛的无限孤寂，奥黛丽赫本的倾情一吻，努力活着的苦难历程。带你进入电影世界，感受不一样的人生。如果你有特别想要经历的、想要得到的、想要改变的，可以给大雨
大王饶命,会说话的肘子,https://book.qidian.com/info/1010191960,都市-都市生活,连载中,280.1万字,高中生吕树在一场车祸中改变人生，当灵气复苏时代来袭，他要做这时代的领跑者。物竞天择，胜者为王。……全订验证群号：696087569
伏天氏,净无痕,https://book.qidian.com/info/1011058239,玄幻-东方玄幻,连载中,291.3万字,东方神州，有人皇立道统，有圣贤宗门传道，有诸侯雄踞一方王国，诸强林立，神州动乱千万载，值此之时，一代天骄叶青帝及东凰大帝横空出世，东方神州一统！然，叶青帝忽然暴毙，世间雕像尽皆被毁，于世间除名，沦为禁
恶魔就在身边,汉宝,https://book.qidian.com/info/1011832263,玄幻-东方玄幻,连载中,391.8万字,陈曌能召唤恶魔，能够看到死亡。“别西卜，用你暴食者的能力，为这位客户治疗一下厌食症。”“雷蒙，这位老年人想重新获得男性的能力，你懂的。”“老黑，你和我说实话，这人什么时候死，怎么死……什么？你不知道，
还看今朝,瑞根,https://book.qidian.com/info/1011207893,都市-都市生活,连载中,293.72万字,当扑面而来的时代巨澜把懵懵懂懂的沙正阳卷入其中时，他是随波逐流，风花雪月，还是长缨在手，逆流击波？干想干的事，为恣意人生。做该做的事，为家国情怀。一万年太久，只争朝夕！到中流击水，浪遏飞舟！
放开那个女巫,二目,https://book.qidian.com/info/1003306811,奇幻-史诗奇幻,连载中,318.8万字,程岩原以为穿越到了欧洲中世纪，成为了一位光荣的王子。但这世界似乎跟自己想的不太一样？女巫真实存在，而且还真具有魔力？女巫种田文，将种田进行到底。
神话版三国,坟土荒草,https://book.qidian.com/info/3223937,历史-秦汉三国,连载中,928.21万字,陈曦看着将一块数百斤巨石撇出去的士卒，无语望苍天，这真的是东汉末年？吕布单枪匹马凿穿万人部队，这怎么看都不科学。赵子龙真心龙魂附体了，一剑断山，这真的是人？典韦单人护着曹操杀出敌营，顺手宰了对面数千步
轮回乐园,那一只蚊子,https://book.qidian.com/info/1009817672,二次元-衍生同人,连载中,418.09万字,苏晓与轮回乐园签订契约，穿梭在各个动漫世界内执行任务。喰种世界，苏晓手持利刃追杀独眼枭·高槻泉十几条街区。顶上战场，苏晓站在海军的尸堆上，遥望处刑台上脸色难看的战国，以及目瞪口呆的艾斯。众契约者：“你
神藏,打眼,https://book.qidian.com/info/3660695,都市-都市生活,完本,525.02万字,一念之间，沧海桑田打眼带你进入古玩的世界！！！
超神制卡师,零下九十度,https://book.qidian.com/info/1013228494,玄幻-高武世界,连载中,105.32万字,这是一只程序员在异世界‘刻光盘’的故事。PS：新书书友群(783084289）
赘婿,愤怒的香蕉,https://book.qidian.com/info/1979049,历史-架空历史,连载中,428.66万字,武朝末年，岁月峥嵘，天下纷乱，金辽相抗，局势动荡，百年屈辱，终于望见结束的第一缕曙光，天祚帝、完颜阿骨打、吴乞买，成吉思汗铁木真、札木合、赤老温、木华黎、博尔忽、博尔术、秦桧、岳飞、李纲、种师道、唐恪
小世界其乐无穷,听日,https://book.qidian.com/info/1011452759,科幻-超级科技,连载中,246.6万字,超凡者打破了世界的寂静，科技树从此拐弯。当人类在黑暗中寻找进化的道路，我拆下肋骨，燃烧心脏，熬夜爆肝，成为他们的先驱。这是一个玩家玩弄世界的游戏历程。小世界，其乐无穷。
我是至尊,风凌天下,https://book.qidian.com/info/1005986994,玄幻-东方玄幻,连载中,340.28万字,药不成丹只是毒，人不成神终成灰。…………天道有缺，人间不平，红尘世外，魍魉横行；哀尔良善，怒尔不争；规则之外，吾来执行。布武天下，屠尽不平；手中有刀，心中有情；怀中美人，刀下奸雄；冷眼红尘，无憾今生。
